#OK
#SQL= select Xoff,  Rvir from miniMDR1..BDMW
#	where snapnum = 66 and Vrms between 300 and 1000
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-02-09 04:17:56.199 CET
#QUERYTIME 1445 millisec
#COLUMN 1 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
Xoff,Rvir
0.0564,0.4239
0.0497,0.3243
0.0874,0.3753
0.0743,0.3491
0.0126,0.3177
0.0273,0.3443
0.1093,0.1038
0.0657,0.1374
0.0709,0.7642
0.0837,0.3655
0.0441,0.3534
0.1,0.5333
0.089,0.3712
0.0603,0.4092
0.1597,0.3255
0.0312,0.3237
0.0689,0.3899
0.0534,0.3336
0.0234,0.3148
0.1254,0.3049
0.091,0.4064
0.1135,0.5211
0.0605,0.6521
0.0725,0.3423
0.0409,0.4995
0.0539,0.4007
0.0797,0.3227
0.0728,0.3121
0.0817,0.3785
0.0538,0.4065
0.039,0.3944
0.0215,0.3033
0.1422,0.1502
0.0491,0.3779
0.0251,0.3836
0.1874,0.5036
0.033,0.3831
0.0753,0.3759
0.0792,0.3626
0.157,0.1044
0.0294,0.3287
0.0608,0.6058
0.0468,0.5382
0.0262,0.315
0.0463,0.3549
0.0205,0.8155
0.0251,0.3838
0.0348,0.7333
0.0607,0.4848
0.2274,0.3439
0.0349,0.4748
0.055,0.3265
0.032,0.5675
0.0197,0.476
0.0302,0.3742
0.0573,0.3144
0.0864,0.4226
0.0667,0.3513
0.1259,0.3248
0.0822,0.0671
0.0333,0.4284
0.0319,0.3218
0.0473,0.3536
0.0514,0.5292
0.0386,0.4932
0.0314,0.6
0.0255,0.4529
0.0776,0.3648
0.0394,0.4348
0.0339,0.3593
0.0218,0.3309
0.0736,0.7761
0.0885,0.3721
0.0328,0.3363
0.0893,0.4981
0.2181,0.382
0.0724,0.5998
0.0438,0.3868
0.0359,0.3804
0.0358,0.3798
0.0281,0.3669
0.0494,0.7804
0.0192,0.3101
0.0934,0.459
0.1676,0.4039
0.0255,0.3806
0.1227,0.1646
0.068,0.3082
0.0401,0.2956
0.0318,0.2794
0.0458,0.5126
0.0472,0.3322
0.0772,0.3798
0.0315,0.3974
0.0524,0.4943
0.0277,0.3536
0.0467,0.4491
0.1589,0.0697
0.0807,0.3688
0.019,0.3943
0.0619,0.4038
0.0145,0.8989
0.0698,0.3649
0.0266,0.5578
0.0708,0.4086
0.1462,0.3654
0.0756,0.4079
0.0751,0.3651
0.0449,0.362
0.0554,0.3471
0.0743,0.3637
0.0735,0.3186
0.1755,0.1137
0.0887,0.7864
0.0503,0.3239
0.1355,0.4759
0.0621,0.3476
0.0326,0.7385
0.0961,0.3981
0.0227,0.4046
0.0652,0.4476
0.1278,0.5332
0.0863,0.587
0.105,0.4532
0.0826,0.2999
0.0503,0.3525
0.0384,0.3448
0.0522,0.3679
0.0666,0.504
0.0448,0.8154
0.1672,0.07
0.0568,0.5744
0.0542,0.3185
0.0262,0.393
0.0683,0.7184
0.1151,0.1007
0.0761,0.3377
0.0549,0.2918
0.0379,0.0367
0.0395,0.458
0.0786,0.3785
0.0309,0.4415
0.0222,0.3987
0.0554,0.4974
0.0438,0.4067
0.0428,0.5244
0.0352,0.3411
0.1879,0.0888
0.0536,0.3361
0.0477,0.5634
0.1316,0.3504
0.1442,0.2309
0.0468,0.3994
0.1239,0.4594
0.0702,0.3764
0.0498,0.3301
0.0308,0.3884
0.1416,0.3308
0.1735,0.063
0.062,0.5027
0.0832,0.3228
0.0432,0.3548
0.0398,0.4823
0.0847,0.3105
0.0944,0.3785
0.0675,0.3955
0.0203,0.4517
0.034,0.3694
0.0629,0.58
0.0345,0.3058
0.0906,0.4552
0.0702,0.3393
0.0432,0.5613
0.0809,0.4024
0.0372,0.3521
0.0436,0.2423
0.0578,0.3667
0.0824,0.3466
0.0656,0.5261
0.0322,0.3317
0.0955,0.392
0.0179,0.36
0.048,0.3176
0.0371,0.3009
0.0785,0.4587
0.0799,0.3198
0.0597,0.1549
0.0183,0.3229
0.0394,0.4263
0.0893,0.3193
0.1427,0.3457
0.0876,0.2592
0.0286,0.5974
0.0548,0.364
0.0692,0.3607
0.0341,0.3115
0.0494,0.3178
0.0461,0.3198
0.0311,0.4737
0.1989,0.0436
0.0491,0.5484
0.1028,0.2854
0.0449,0.6644
0.0142,0.3797
0.096,0.3944
0.0503,0.3649
0.0482,0.4136
0.0133,0.4829
0.0991,0.3146
0.0566,0.6665
0.0095,0.4887
0.0163,0.4036
0.0494,0.31
0.1119,0.3523
0.0225,0.4103
0.0555,0.3278
0.0347,0.4654
0.1291,0.3355
0.1974,0.0993
